home,win,home_seasonWins,home_seasonLosses,home_seasonGames,home_avg_teamScore,home_avg_opponentScore,home_avg_assists,home_avg_blocks,home_avg_steals,home_avg_freeThrowsAttempted,home_avg_reboundsTotal,home_avg_turnovers,home_avg_plusMinusPoints,home_avg_fieldGoalsAttempted,home_avg_threePointersAttempted,home_avg_fieldGoalsPercentage,home_avg_threePointersPercentage,home_avg_freeThrowsPercentage,away_seasonWins,away_seasonLosses,away_seasonGames,away_avg_teamScore,away_avg_opponentScore,away_avg_assists,away_avg_blocks,away_avg_steals,away_avg_freeThrowsAttempted,away_avg_reboundsTotal,away_avg_turnovers,away_avg_plusMinusPoints,away_avg_fieldGoalsAttempted,away_avg_threePointersAttempted,away_avg_fieldGoalsPercentage,away_avg_threePointersPercentage,away_avg_freeThrowsPercentage,h2h_win_rate
1,1,56,26,82,100.6,97.2,23.0,6.0,6.9,28.5,44.7,14.4,3.4,81.5,15.5,0.466,0.348,0.683,50,32,82,95.4,91.2,23.9,5.1,8.2,23.2,42.0,15.3,4.2,78.3,12.9,0.469,0.347,0.757,0.0
1,1,52,30,82,100.7,96.9,22.5,4.7,8.2,22.9,42.4,13.7,4.1,82.9,18.1,0.458,0.383,0.78,43,39,82,97.5,96.5,22.0,5.9,8.2,25.2,42.9,15.2,1.3,83.8,16.4,0.44,0.365,0.718,0.0
1,0,55,27,82,101.7,95.9,22.6,5.3,9.7,25.3,45.0,14.9,5.8,85.0,16.5,0.451,0.347,0.775,51,31,82,94.0,91.8,23.2,5.2,9.5,24.1,42.7,15.3,2.2,82.4,12.9,0.437,0.31,0.752,0.0
1,1,48,34,82,88.7,86.1,18.5,4.2,6.6,21.1,40.2,14.5,2.6,75.6,13.6,0.446,0.354,0.795,47,35,82,97.6,95.4,24.4,6.3,7.3,24.2,44.5,13.2,2.3,85.0,14.2,0.439,0.362,0.745,0.0
1,0,50,33,83,88.8,86.8,19.8,3.7,7.7,22.8,39.5,13.8,2.0,76.2,16.9,0.431,0.344,0.754,47,36,83,92.1,89.7,23.1,5.5,8.2,26.2,44.3,14.4,2.7,79.3,12.0,0.433,0.342,0.745,0.0
1,1,59,24,83,96.1,88.3,21.6,7.0,6.9,28.5,44.0,14.0,8.0,76.2,13.3,0.462,0.406,0.712,47,36,83,97.2,95.9,25.3,5.5,8.3,21.2,42.3,13.8,1.5,83.8,10.9,0.458,0.354,0.784,1.0
1,1,56,27,83,94.5,90.3,20.7,5.0,8.4,27.7,44.9,15.7,4.2,79.1,9.8,0.448,0.316,0.753,42,41,83,92.4,92.6,21.5,5.9,6.8,24.4,42.9,15.1,-0.2,78.5,14.1,0.44,0.341,0.769,0.0
1,1,54,29,83,97.0,92.3,25.7,5.6,8.0,27.8,40.7,15.8,4.9,76.7,10.4,0.472,0.369,0.753,53,30,83,100.3,96.1,21.1,6.0,7.5,23.8,41.4,14.0,4.2,81.8,16.6,0.461,0.38,0.796,1.0
1,1,53,30,83,100.8,96.8,22.5,4.7,8.2,22.9,42.6,13.7,4.3,83.1,18.1,0.458,0.381,0.779,43,40,83,97.4,96.6,22.0,5.9,8.2,25.2,42.9,15.1,1.1,83.8,16.4,0.439,0.366,0.719,1.0
1,1,55,28,83,101.5,95.8,22.5,5.2,9.7,25.3,45.1,15.0,5.7,85.1,16.4,0.45,0.347,0.774,52,31,83,93.9,91.7,23.2,5.3,9.5,24.0,42.7,15.3,2.2,82.5,12.9,0.437,0.31,0.75,0.0
1,1,57,26,83,100.7,97.2,23.0,5.9,6.9,28.5,44.8,14.4,3.5,81.6,15.6,0.465,0.348,0.684,50,33,83,95.4,91.4,23.9,5.1,8.2,23.3,41.9,15.3,4.0,78.2,13.0,0.469,0.346,0.757,1.0
